Country,OECD,Gender,Answer,number,Question,Area
China-Shanghai,Non-OECD,Female,Some Lessons,282,ST77Q01,Math Teaching
China-Shanghai,Non-OECD,Female,NA,876,ST77Q01,Math Teaching
China-Shanghai,Non-OECD,Male,Every Lesson,740,ST77Q01,Math Teaching
China-Shanghai,Non-OECD,Male,Most Lessons,665,ST77Q01,Math Teaching
China-Shanghai,Non-OECD,Male,Never or Hardly Ever,39,ST77Q01,Math Teaching
China-Shanghai,Non-OECD,Male,Some Lessons,252,ST77Q01,Math Teaching
China-Shanghai,Non-OECD,Male,NA,844,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Female,Every Lesson,330,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Female,Most Lessons,744,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Female,Never or Hardly Ever,112,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Female,Some Lessons,869,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Female,NA,1056,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Male,Every Lesson,360,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Male,Most Lessons,747,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Male,Never or Hardly Ever,152,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Male,Some Lessons,697,ST77Q01,Math Teaching
Chinese Taipei,Non-OECD,Male,NA,979,ST77Q01,Math Teaching
Colombia,Non-OECD,Female,Every Lesson,1820,ST77Q01,Math Teaching
Colombia,Non-OECD,Female,Most Lessons,810,ST77Q01,Math Teaching
Colombia,Non-OECD,Female,Never or Hardly Ever,53,ST77Q01,Math Teaching
Colombia,Non-OECD,Female,Some Lessons,361,ST77Q01,Math Teaching
Colombia,Non-OECD,Female,NA,1763,ST77Q01,Math Teaching
Colombia,Non-OECD,Male,Every Lesson,1681,ST77Q01,Math Teaching
Colombia,Non-OECD,Male,Most Lessons,692,ST77Q01,Math Teaching
Colombia,Non-OECD,Male,Never or Hardly Ever,56,ST77Q01,Math Teaching
Colombia,Non-OECD,Male,Some Lessons,303,ST77Q01,Math Teaching
Colombia,Non-OECD,Male,NA,1534,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Female,Every Lesson,199,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Female,Most Lessons,199,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Female,Never or Hardly Ever,17,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Female,Some Lessons,130,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Female,NA,300,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Male,Every Lesson,194,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Male,Most Lessons,204,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Male,Never or Hardly Ever,21,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Male,Some Lessons,126,ST77Q01,Math Teaching
Connecticut (USA),Non-OECD,Male,NA,307,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Female,Every Lesson,931,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Female,Most Lessons,376,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Female,Never or Hardly Ever,35,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Female,Some Lessons,221,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Female,NA,897,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Male,Every Lesson,799,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Male,Most Lessons,320,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Male,Never or Hardly Ever,31,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Male,Some Lessons,152,ST77Q01,Math Teaching
Costa Rica,Non-OECD,Male,NA,840,ST77Q01,Math Teaching
Croatia,Non-OECD,Female,Every Lesson,322,ST77Q01,Math Teaching
Croatia,Non-OECD,Female,Most Lessons,498,ST77Q01,Math Teaching
Croatia,Non-OECD,Female,Never or Hardly Ever,189,ST77Q01,Math Teaching
Croatia,Non-OECD,Female,Some Lessons,651,ST77Q01,Math Teaching
Croatia,Non-OECD,Female,NA,820,ST77Q01,Math Teaching
Croatia,Non-OECD,Male,Every Lesson,408,ST77Q01,Math Teaching
Croatia,Non-OECD,Male,Most Lessons,532,ST77Q01,Math Teaching
Croatia,Non-OECD,Male,Never or Hardly Ever,167,ST77Q01,Math Teaching
Croatia,Non-OECD,Male,Some Lessons,548,ST77Q01,Math Teaching
Croatia,Non-OECD,Male,NA,873,ST77Q01,Math Teaching
Czech Republic,OECD,Female,Every Lesson,385,ST77Q01,Math Teaching
Czech Republic,OECD,Female,Most Lessons,615,ST77Q01,Math Teaching
Czech Republic,OECD,Female,Never or Hardly Ever,175,ST77Q01,Math Teaching
Czech Republic,OECD,Female,Some Lessons,559,ST77Q01,Math Teaching
Czech Republic,OECD,Female,NA,946,ST77Q01,Math Teaching
Czech Republic,OECD,Male,Every Lesson,473,ST77Q01,Math Teaching
Czech Republic,OECD,Male,Most Lessons,599,ST77Q01,Math Teaching
Czech Republic,OECD,Male,Never or Hardly Ever,169,ST77Q01,Math Teaching
Czech Republic,OECD,Male,Some Lessons,458,ST77Q01,Math Teaching
Czech Republic,OECD,Male,NA,948,ST77Q01,Math Teaching
Denmark,OECD,Female,Every Lesson,589,ST77Q01,Math Teaching
Denmark,OECD,Female,Most Lessons,905,ST77Q01,Math Teaching
Denmark,OECD,Female,Never or Hardly Ever,198,ST77Q01,Math Teaching
Denmark,OECD,Female,Some Lessons,753,ST77Q01,Math Teaching
Denmark,OECD,Female,NA,1332,ST77Q01,Math Teaching
Denmark,OECD,Male,Every Lesson,677,ST77Q01,Math Teaching
Denmark,OECD,Male,Most Lessons,910,ST77Q01,Math Teaching
Denmark,OECD,Male,Never or Hardly Ever,194,ST77Q01,Math Teaching
Denmark,OECD,Male,Some Lessons,606,ST77Q01,Math Teaching
Denmark,OECD,Male,NA,1317,ST77Q01,Math Teaching
Estonia,OECD,Female,Every Lesson,248,ST77Q01,Math Teaching
Estonia,OECD,Female,Most Lessons,552,ST77Q01,Math Teaching
Estonia,OECD,Female,Never or Hardly Ever,193,ST77Q01,Math Teaching
Estonia,OECD,Female,Some Lessons,625,ST77Q01,Math Teaching
Estonia,OECD,Female,NA,791,ST77Q01,Math Teaching
Estonia,OECD,Male,Every Lesson,290,ST77Q01,Math Teaching
Estonia,OECD,Male,Most Lessons,568,ST77Q01,Math Teaching
Estonia,OECD,Male,Never or Hardly Ever,160,ST77Q01,Math Teaching
Estonia,OECD,Male,Some Lessons,528,ST77Q01,Math Teaching
Estonia,OECD,Male,NA,824,ST77Q01,Math Teaching
Finland,OECD,Female,Every Lesson,735,ST77Q01,Math Teaching
Finland,OECD,Female,Most Lessons,1151,ST77Q01,Math Teaching
Finland,OECD,Female,Never or Hardly Ever,196,ST77Q01,Math Teaching
Finland,OECD,Female,Some Lessons,771,ST77Q01,Math Teaching
Finland,OECD,Female,NA,1517,ST77Q01,Math Teaching
Finland,OECD,Male,Every Lesson,783,ST77Q01,Math Teaching
Finland,OECD,Male,Most Lessons,1189,ST77Q01,Math Teaching
Finland,OECD,Male,Never or Hardly Ever,199,ST77Q01,Math Teaching
Finland,OECD,Male,Some Lessons,686,ST77Q01,Math Teaching
Finland,OECD,Male,NA,1602,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Female,Every Lesson,206,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Female,Most Lessons,209,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Female,Never or Hardly Ever,48,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Female,Some Lessons,171,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Female,NA,318,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Male,Every Lesson,210,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Male,Most Lessons,211,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Male,Never or Hardly Ever,31,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Male,Some Lessons,165,ST77Q01,Math Teaching
Florida (USA),Non-OECD,Male,NA,327,ST77Q01,Math Teaching
France,OECD,Female,Every Lesson,245,ST77Q01,Math Teaching
France,OECD,Female,Most Lessons,496,ST77Q01,Math Teaching
France,OECD,Female,Never or Hardly Ever,278,ST77Q01,Math Teaching
France,OECD,Female,Some Lessons,561,ST77Q01,Math Teaching
France,OECD,Female,NA,795,ST77Q01,Math Teaching
France,OECD,Male,Every Lesson,320,ST77Q01,Math Teaching
France,OECD,Male,Most Lessons,438,ST77Q01,Math Teaching
France,OECD,Male,Never or Hardly Ever,245,ST77Q01,Math Teaching
France,OECD,Male,Some Lessons,435,ST77Q01,Math Teaching
France,OECD,Male,NA,800,ST77Q01,Math Teaching
Germany,OECD,Female,Every Lesson,169,ST77Q01,Math Teaching
Germany,OECD,Female,Most Lessons,443,ST77Q01,Math Teaching
Germany,OECD,Female,Never or Hardly Ever,261,ST77Q01,Math Teaching
Germany,OECD,Female,Some Lessons,527,ST77Q01,Math Teaching
Germany,OECD,Female,NA,1062,ST77Q01,Math Teaching
Germany,OECD,Male,Every Lesson,276,ST77Q01,Math Teaching
Germany,OECD,Male,Most Lessons,464,ST77Q01,Math Teaching
Germany,OECD,Male,Never or Hardly Ever,234,ST77Q01,Math Teaching
Germany,OECD,Male,Some Lessons,384,ST77Q01,Math Teaching
Germany,OECD,Male,NA,1181,ST77Q01,Math Teaching
Greece,OECD,Female,Every Lesson,303,ST77Q01,Math Teaching
Greece,OECD,Female,Most Lessons,445,ST77Q01,Math Teaching
Greece,OECD,Female,Never or Hardly Ever,292,ST77Q01,Math Teaching
Greece,OECD,Female,Some Lessons,673,ST77Q01,Math Teaching
Greece,OECD,Female,NA,863,ST77Q01,Math Teaching
Greece,OECD,Male,Every Lesson,355,ST77Q01,Math Teaching
Greece,OECD,Male,Most Lessons,501,ST77Q01,Math Teaching
Greece,OECD,Male,Never or Hardly Ever,257,ST77Q01,Math Teaching
Greece,OECD,Male,Some Lessons,560,ST77Q01,Math Teaching
Greece,OECD,Male,NA,876,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Female,Every Lesson,258,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Female,Most Lessons,633,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Female,Never or Hardly Ever,51,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Female,Some Lessons,456,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Female,NA,763,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Male,Every Lesson,377,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Male,Most Lessons,686,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Male,Never or Hardly Ever,78,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Male,Some Lessons,481,ST77Q01,Math Teaching
Hong Kong-China,Non-OECD,Male,NA,887,ST77Q01,Math Teaching
Hungary,OECD,Female,Every Lesson,382,ST77Q01,Math Teaching
Hungary,OECD,Female,Most Lessons,599,ST77Q01,Math Teaching
Hungary,OECD,Female,Never or Hardly Ever,171,ST77Q01,Math Teaching
Hungary,OECD,Female,Some Lessons,499,ST77Q01,Math Teaching
Hungary,OECD,Female,NA,878,ST77Q01,Math Teaching
Hungary,OECD,Male,Every Lesson,379,ST77Q01,Math Teaching
Hungary,OECD,Male,Most Lessons,603,ST77Q01,Math Teaching
Hungary,OECD,Male,Never or Hardly Ever,135,ST77Q01,Math Teaching
Hungary,OECD,Male,Some Lessons,400,ST77Q01,Math Teaching
Hungary,OECD,Male,NA,764,ST77Q01,Math Teaching
Iceland,OECD,Female,Every Lesson,431,ST77Q01,Math Teaching
Iceland,OECD,Female,Most Lessons,482,ST77Q01,Math Teaching
Iceland,OECD,Female,Never or Hardly Ever,41,ST77Q01,Math Teaching
Iceland,OECD,Female,Some Lessons,180,ST77Q01,Math Teaching
Iceland,OECD,Female,NA,605,ST77Q01,Math Teaching
Iceland,OECD,Male,Every Lesson,488,ST77Q01,Math Teaching
Iceland,OECD,Male,Most Lessons,450,ST77Q01,Math Teaching
Iceland,OECD,Male,Never or Hardly Ever,50,ST77Q01,Math Teaching
Iceland,OECD,Male,Some Lessons,164,ST77Q01,Math Teaching
Iceland,OECD,Male,NA,617,ST77Q01,Math Teaching
Indonesia,Non-OECD,Female,Every Lesson,672,ST77Q01,Math Teaching
Indonesia,Non-OECD,Female,Most Lessons,441,ST77Q01,Math Teaching
Indonesia,Non-OECD,Female,Never or Hardly Ever,70,ST77Q01,Math Teaching
Indonesia,Non-OECD,Female,Some Lessons,668,ST77Q01,Math Teaching
Indonesia,Non-OECD,Female,NA,1009,ST77Q01,Math Teaching
Indonesia,Non-OECD,Male,Every Lesson,701,ST77Q01,Math Teaching
Indonesia,Non-OECD,Male,Most Lessons,473,ST77Q01,Math Teaching
Indonesia,Non-OECD,Male,Never or Hardly Ever,76,ST77Q01,Math Teaching
Indonesia,Non-OECD,Male,Some Lessons,571,ST77Q01,Math Teaching
Indonesia,Non-OECD,Male,NA,941,ST77Q01,Math Teaching
Ireland,OECD,Female,Every Lesson,573,ST77Q01,Math Teaching
Ireland,OECD,Female,Most Lessons,558,ST77Q01,Math Teaching
Ireland,OECD,Female,Never or Hardly Ever,140,ST77Q01,Math Teaching
Ireland,OECD,Female,Some Lessons,410,ST77Q01,Math Teaching
Ireland,OECD,Female,NA,864,ST77Q01,Math Teaching
Ireland,OECD,Male,Every Lesson,541,ST77Q01,Math Teaching
Ireland,OECD,Male,Most Lessons,542,ST77Q01,Math Teaching
Ireland,OECD,Male,Never or Hardly Ever,169,ST77Q01,Math Teaching
Ireland,OECD,Male,Some Lessons,387,ST77Q01,Math Teaching
Ireland,OECD,Male,NA,832,ST77Q01,Math Teaching
Israel,OECD,Female,Every Lesson,524,ST77Q01,Math Teaching
Israel,OECD,Female,Most Lessons,527,ST77Q01,Math Teaching
Israel,OECD,Female,Never or Hardly Ever,189,ST77Q01,Math Teaching
Israel,OECD,Female,Some Lessons,529,ST77Q01,Math Teaching
Israel,OECD,Female,NA,1056,ST77Q01,Math Teaching
Israel,OECD,Male,Every Lesson,435,ST77Q01,Math Teaching
Israel,OECD,Male,Most Lessons,391,ST77Q01,Math Teaching
Israel,OECD,Male,Never or Hardly Ever,161,ST77Q01,Math Teaching
Israel,OECD,Male,Some Lessons,445,ST77Q01,Math Teaching
Israel,OECD,Male,NA,798,ST77Q01,Math Teaching
Italy,OECD,Female,Every Lesson,2681,ST77Q01,Math Teaching
Italy,OECD,Female,Most Lessons,3543,ST77Q01,Math Teaching
Italy,OECD,Female,Never or Hardly Ever,1079,ST77Q01,Math Teaching
Italy,OECD,Female,Some Lessons,2738,ST77Q01,Math Teaching
Italy,OECD,Female,NA,5202,ST77Q01,Math Teaching
Italy,OECD,Male,Every Lesson,3051,ST77Q01,Math Teaching
Italy,OECD,Male,Most Lessons,3629,ST77Q01,Math Teaching
Italy,OECD,Male,Never or Hardly Ever,1074,ST77Q01,Math Teaching
Italy,OECD,Male,Some Lessons,2661,ST77Q01,Math Teaching
Italy,OECD,Male,NA,5415,ST77Q01,Math Teaching
Japan,OECD,Female,Every Lesson,291,ST77Q01,Math Teaching
Japan,OECD,Female,Most Lessons,950,ST77Q01,Math Teaching
Japan,OECD,Female,Never or Hardly Ever,150,ST77Q01,Math Teaching
Japan,OECD,Female,Some Lessons,573,ST77Q01,Math Teaching
Japan,OECD,Female,NA,1057,ST77Q01,Math Teaching
Japan,OECD,Male,Every Lesson,419,ST77Q01,Math Teaching
Japan,OECD,Male,Most Lessons,1074,ST77Q01,Math Teaching
Japan,OECD,Male,Never or Hardly Ever,206,ST77Q01,Math Teaching
Japan,OECD,Male,Some Lessons,506,ST77Q01,Math Teaching
Japan,OECD,Male,NA,1125,ST77Q01,Math Teaching
Jordan,Non-OECD,Female,Every Lesson,1464,ST77Q01,Math Teaching
Jordan,Non-OECD,Female,Most Lessons,566,ST77Q01,Math Teaching
Jordan,Non-OECD,Female,Never or Hardly Ever,117,ST77Q01,Math Teaching
Jordan,Non-OECD,Female,Some Lessons,250,ST77Q01,Math Teaching
Jordan,Non-OECD,Female,NA,1218,ST77Q01,Math Teaching
Jordan,Non-OECD,Male,Every Lesson,1315,ST77Q01,Math Teaching
Jordan,Non-OECD,Male,Most Lessons,490,ST77Q01,Math Teaching
Jordan,Non-OECD,Male,Never or Hardly Ever,137,ST77Q01,Math Teaching
Jordan,Non-OECD,Male,Some Lessons,193,ST77Q01,Math Teaching
Jordan,Non-OECD,Male,NA,1288,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Female,Every Lesson,1019,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Female,Most Lessons,565,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Female,Never or Hardly Ever,50,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Female,Some Lessons,304,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Female,NA,993,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Male,Every Lesson,958,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Male,Most Lessons,601,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Male,Never or Hardly Ever,39,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Male,Some Lessons,305,ST77Q01,Math Teaching
Kazakhstan,Non-OECD,Male,NA,974,ST77Q01,Math Teaching
Korea,OECD,Female,Every Lesson,205,ST77Q01,Math Teaching
Korea,OECD,Female,Most Lessons,774,ST77Q01,Math Teaching
Korea,OECD,Female,Never or Hardly Ever,72,ST77Q01,Math Teaching
Korea,OECD,Female,Some Lessons,512,ST77Q01,Math Teaching
Korea,OECD,Female,NA,779,ST77Q01,Math Teaching
Korea,OECD,Male,Every Lesson,274,ST77Q01,Math Teaching
Korea,OECD,Male,Most Lessons,864,ST77Q01,Math Teaching
Korea,OECD,Male,Never or Hardly Ever,108,ST77Q01,Math Teaching
Korea,OECD,Male,Some Lessons,547,ST77Q01,Math Teaching
Korea,OECD,Male,NA,898,ST77Q01,Math Teaching
Latvia,Non-OECD,Female,Every Lesson,269,ST77Q01,Math Teaching
Latvia,Non-OECD,Female,Most Lessons,491,ST77Q01,Math Teaching
Latvia,Non-OECD,Female,Never or Hardly Ever,162,ST77Q01,Math Teaching
Latvia,Non-OECD,Female,Some Lessons,538,ST77Q01,Math Teaching
Latvia,Non-OECD,Female,NA,728,ST77Q01,Math Teaching
Latvia,Non-OECD,Male,Every Lesson,290,ST77Q01,Math Teaching
Latvia,Non-OECD,Male,Most Lessons,469,ST77Q01,Math Teaching
Latvia,Non-OECD,Male,Never or Hardly Ever,147,ST77Q01,Math Teaching
Latvia,Non-OECD,Male,Some Lessons,446,ST77Q01,Math Teaching
Latvia,Non-OECD,Male,NA,766,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Female,Every Lesson,20,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Female,Most Lessons,27,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Female,Never or Hardly Ever,7,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Female,Some Lessons,32,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Female,NA,52,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Male,Every Lesson,30,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Male,Most Lessons,31,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Male,Never or Hardly Ever,20,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Male,Some Lessons,22,ST77Q01,Math Teaching
Liechtenstein,Non-OECD,Male,NA,52,ST77Q01,Math Teaching
Lithuania,Non-OECD,Female,Every Lesson,306,ST77Q01,Math Teaching
Lithuania,Non-OECD,Female,Most Lessons,512,ST77Q01,Math Teaching
Lithuania,Non-OECD,Female,Never or Hardly Ever,155,ST77Q01,Math Teaching
Lithuania,Non-OECD,Female,Some Lessons,550,ST77Q01,Math Teaching
Lithuania,Non-OECD,Female,NA,760,ST77Q01,Math Teaching
Lithuania,Non-OECD,Male,Every Lesson,385,ST77Q01,Math Teaching
Lithuania,Non-OECD,Male,Most Lessons,487,ST77Q01,Math Teaching
Lithuania,Non-OECD,Male,Never or Hardly Ever,133,ST77Q01,Math Teaching
Lithuania,Non-OECD,Male,Some Lessons,552,ST77Q01,Math Teaching
Lithuania,Non-OECD,Male,NA,778,ST77Q01,Math Teaching
Luxembourg,OECD,Female,Every Lesson,329,ST77Q01,Math Teaching
Luxembourg,OECD,Female,Most Lessons,468,ST77Q01,Math Teaching
Luxembourg,OECD,Female,Never or Hardly Ever,333,ST77Q01,Math Teaching
Luxembourg,OECD,Female,Some Lessons,549,ST77Q01,Math Teaching
Luxembourg,OECD,Female,NA,902,ST77Q01,Math Teaching
Luxembourg,OECD,Male,Every Lesson,431,ST77Q01,Math Teaching
