Question,Gender,Answer,number,Area
ST48Q05,Female,Pursuing a career Science,91887,Math Intentions
ST48Q05,Female,NA,98207,Math Intentions
ST48Q05,Male,Pursuing a career Math,71389,Math Intentions
ST48Q05,Male,Pursuing a career Science,69746,Math Intentions
ST48Q05,Male,NA,99291,Math Intentions
ST49Q01,Female,Always or almost always,9456,Math Behaviour
ST49Q01,Female,Never or rarely,52950,Math Behaviour
ST49Q01,Female,Often,28731,Math Behaviour
ST49Q01,Female,Sometimes,68109,Math Behaviour
ST49Q01,Female,NA,85818,Math Behaviour
ST49Q01,Male,Always or almost always,12385,Math Behaviour
ST49Q01,Male,Never or rarely,54548,Math Behaviour
ST49Q01,Male,Often,28077,Math Behaviour
ST49Q01,Male,Sometimes,59239,Math Behaviour
ST49Q01,Male,NA,86177,Math Behaviour
ST49Q02,Female,Always or almost always,11330,Math Behaviour
ST49Q02,Female,Never or rarely,38942,Math Behaviour
ST49Q02,Female,Often,35708,Math Behaviour
ST49Q02,Female,Sometimes,73064,Math Behaviour
ST49Q02,Female,NA,86020,Math Behaviour
ST49Q02,Male,Always or almost always,12342,Math Behaviour
ST49Q02,Male,Never or rarely,39120,Math Behaviour
ST49Q02,Male,Often,37277,Math Behaviour
ST49Q02,Male,Sometimes,65242,Math Behaviour
ST49Q02,Male,NA,86445,Math Behaviour
ST49Q03,Female,Always or almost always,8074,Math Behaviour
ST49Q03,Female,Never or rarely,84666,Math Behaviour
ST49Q03,Female,Often,19661,Math Behaviour
ST49Q03,Female,Sometimes,46239,Math Behaviour
ST49Q03,Female,NA,86424,Math Behaviour
ST49Q03,Male,Always or almost always,9706,Math Behaviour
ST49Q03,Male,Never or rarely,75626,Math Behaviour
ST49Q03,Male,Often,22125,Math Behaviour
ST49Q03,Male,Sometimes,46071,Math Behaviour
ST49Q03,Male,NA,86898,Math Behaviour
ST49Q04,Female,Always or almost always,5028,Math Behaviour
ST49Q04,Female,Never or rarely,118701,Math Behaviour
ST49Q04,Female,Often,9274,Math Behaviour
ST49Q04,Female,Sometimes,25719,Math Behaviour
ST49Q04,Female,NA,86342,Math Behaviour
ST49Q04,Male,Always or almost always,8411,Math Behaviour
ST49Q04,Male,Never or rarely,101581,Math Behaviour
ST49Q04,Male,Often,14310,Math Behaviour
ST49Q04,Male,Sometimes,29354,Math Behaviour
ST49Q04,Male,NA,86770,Math Behaviour
ST49Q05,Female,Always or almost always,6622,Math Behaviour
ST49Q05,Female,Never or rarely,91353,Math Behaviour
ST49Q05,Female,Often,14386,Math Behaviour
ST49Q05,Female,Sometimes,46505,Math Behaviour
ST49Q05,Female,NA,86198,Math Behaviour
ST49Q05,Male,Always or almost always,8076,Math Behaviour
ST49Q05,Male,Never or rarely,88060,Math Behaviour
ST49Q05,Male,Often,15755,Math Behaviour
ST49Q05,Male,Sometimes,41825,Math Behaviour
ST49Q05,Male,NA,86710,Math Behaviour
ST49Q06,Female,Always or almost always,4795,Math Behaviour
ST49Q06,Female,Never or rarely,112576,Math Behaviour
ST49Q06,Female,Often,10739,Math Behaviour
ST49Q06,Female,Sometimes,30712,Math Behaviour
ST49Q06,Female,NA,86242,Math Behaviour
ST49Q06,Male,Always or almost always,13556,Math Behaviour
ST49Q06,Male,Never or rarely,70686,Math Behaviour
ST49Q06,Male,Often,24402,Math Behaviour
ST49Q06,Male,Sometimes,45105,Math Behaviour
ST49Q06,Male,NA,86677,Math Behaviour
ST49Q07,Female,Always or almost always,6362,Math Behaviour
ST49Q07,Female,Never or rarely,109354,Math Behaviour
ST49Q07,Female,Often,13094,Math Behaviour
ST49Q07,Female,Sometimes,29933,Math Behaviour
ST49Q07,Female,NA,86321,Math Behaviour
ST49Q07,Male,Always or almost always,14992,Math Behaviour
ST49Q07,Male,Never or rarely,75903,Math Behaviour
ST49Q07,Male,Often,24279,Math Behaviour
ST49Q07,Male,Sometimes,38508,Math Behaviour
ST49Q07,Male,NA,86744,Math Behaviour
ST49Q09,Female,Always or almost always,2861,Math Behaviour
ST49Q09,Female,Never or rarely,141052,Math Behaviour
ST49Q09,Female,Often,4751,Math Behaviour
ST49Q09,Female,Sometimes,10258,Math Behaviour
ST49Q09,Female,NA,86142,Math Behaviour
ST49Q09,Male,Always or almost always,5630,Math Behaviour
ST49Q09,Male,Never or rarely,126057,Math Behaviour
ST49Q09,Male,Often,8172,Math Behaviour
ST49Q09,Male,Sometimes,13971,Math Behaviour
ST49Q09,Male,NA,86596,Math Behaviour
