"","Country","Gender","Answer","number","Question","Area"
"64","Bulgaria","Female","Some Lessons",355,"ST77Q01","Math Interest"
"65","Bulgaria","Female",NA,898,"ST77Q01","Math Interest"
"66","Bulgaria","Male","Every Lesson",698,"ST77Q01","Math Interest"
"67","Bulgaria","Male","Most Lessons",586,"ST77Q01","Math Interest"
"68","Bulgaria","Male","Never or Hardly Ever",97,"ST77Q01","Math Interest"
"69","Bulgaria","Male","Some Lessons",347,"ST77Q01","Math Interest"
"70","Bulgaria","Male",NA,976,"ST77Q01","Math Interest"
"71","Canada","Female","Every Lesson",2379,"ST77Q01","Math Interest"
"72","Canada","Female","Most Lessons",2584,"ST77Q01","Math Interest"
"73","Canada","Female","Never or Hardly Ever",449,"ST77Q01","Math Interest"
"74","Canada","Female","Some Lessons",1691,"ST77Q01","Math Interest"
"75","Canada","Female",NA,3840,"ST77Q01","Math Interest"
"76","Canada","Male","Every Lesson",2357,"ST77Q01","Math Interest"
"77","Canada","Male","Most Lessons",2476,"ST77Q01","Math Interest"
"78","Canada","Male","Never or Hardly Ever",499,"ST77Q01","Math Interest"
"79","Canada","Male","Some Lessons",1512,"ST77Q01","Math Interest"
"80","Canada","Male",NA,3757,"ST77Q01","Math Interest"
"81","Chile","Female","Every Lesson",1228,"ST77Q01","Math Interest"
"82","Chile","Female","Most Lessons",637,"ST77Q01","Math Interest"
"83","Chile","Female","Never or Hardly Ever",64,"ST77Q01","Math Interest"
"84","Chile","Female","Some Lessons",352,"ST77Q01","Math Interest"
"85","Chile","Female",NA,1231,"ST77Q01","Math Interest"
"86","Chile","Male","Every Lesson",1162,"ST77Q01","Math Interest"
"87","Chile","Male","Most Lessons",645,"ST77Q01","Math Interest"
"88","Chile","Male","Never or Hardly Ever",73,"ST77Q01","Math Interest"
"89","Chile","Male","Some Lessons",342,"ST77Q01","Math Interest"
"90","Chile","Male",NA,1122,"ST77Q01","Math Interest"
"91","China-Shanghai","Female","Every Lesson",737,"ST77Q01","Math Interest"
"92","China-Shanghai","Female","Most Lessons",696,"ST77Q01","Math Interest"
"93","China-Shanghai","Female","Never or Hardly Ever",46,"ST77Q01","Math Interest"
"94","China-Shanghai","Female","Some Lessons",282,"ST77Q01","Math Interest"
"95","China-Shanghai","Female",NA,876,"ST77Q01","Math Interest"
"96","China-Shanghai","Male","Every Lesson",740,"ST77Q01","Math Interest"
"97","China-Shanghai","Male","Most Lessons",665,"ST77Q01","Math Interest"
"98","China-Shanghai","Male","Never or Hardly Ever",39,"ST77Q01","Math Interest"
"99","China-Shanghai","Male","Some Lessons",252,"ST77Q01","Math Interest"
"100","China-Shanghai","Male",NA,844,"ST77Q01","Math Interest"
"101","Chinese Taipei","Female","Every Lesson",330,"ST77Q01","Math Interest"
"102","Chinese Taipei","Female","Most Lessons",744,"ST77Q01","Math Interest"
"103","Chinese Taipei","Female","Never or Hardly Ever",112,"ST77Q01","Math Interest"
"104","Chinese Taipei","Female","Some Lessons",869,"ST77Q01","Math Interest"
"105","Chinese Taipei","Female",NA,1056,"ST77Q01","Math Interest"
"106","Chinese Taipei","Male","Every Lesson",360,"ST77Q01","Math Interest"
"107","Chinese Taipei","Male","Most Lessons",747,"ST77Q01","Math Interest"
"108","Chinese Taipei","Male","Never or Hardly Ever",152,"ST77Q01","Math Interest"
"109","Chinese Taipei","Male","Some Lessons",697,"ST77Q01","Math Interest"
"110","Chinese Taipei","Male",NA,979,"ST77Q01","Math Interest"
"111","Colombia","Female","Every Lesson",1820,"ST77Q01","Math Interest"
"112","Colombia","Female","Most Lessons",810,"ST77Q01","Math Interest"
"113","Colombia","Female","Never or Hardly Ever",53,"ST77Q01","Math Interest"
"114","Colombia","Female","Some Lessons",361,"ST77Q01","Math Interest"
"115","Colombia","Female",NA,1763,"ST77Q01","Math Interest"
"116","Colombia","Male","Every Lesson",1681,"ST77Q01","Math Interest"
"117","Colombia","Male","Most Lessons",692,"ST77Q01","Math Interest"
"118","Colombia","Male","Never or Hardly Ever",56,"ST77Q01","Math Interest"
"119","Colombia","Male","Some Lessons",303,"ST77Q01","Math Interest"
"120","Colombia","Male",NA,1534,"ST77Q01","Math Interest"
"121","Connecticut (USA)","Female","Every Lesson",199,"ST77Q01","Math Interest"
"122","Connecticut (USA)","Female","Most Lessons",199,"ST77Q01","Math Interest"
"123","Connecticut (USA)","Female","Never or Hardly Ever",17,"ST77Q01","Math Interest"
"124","Connecticut (USA)","Female","Some Lessons",130,"ST77Q01","Math Interest"
"125","Connecticut (USA)","Female",NA,300,"ST77Q01","Math Interest"
"126","Connecticut (USA)","Male","Every Lesson",194,"ST77Q01","Math Interest"
"127","Connecticut (USA)","Male","Most Lessons",204,"ST77Q01","Math Interest"
"128","Connecticut (USA)","Male","Never or Hardly Ever",21,"ST77Q01","Math Interest"
"129","Connecticut (USA)","Male","Some Lessons",126,"ST77Q01","Math Interest"
"130","Connecticut (USA)","Male",NA,307,"ST77Q01","Math Interest"
"131","Costa Rica","Female","Every Lesson",931,"ST77Q01","Math Interest"
"132","Costa Rica","Female","Most Lessons",376,"ST77Q01","Math Interest"
"133","Costa Rica","Female","Never or Hardly Ever",35,"ST77Q01","Math Interest"
"134","Costa Rica","Female","Some Lessons",221,"ST77Q01","Math Interest"
"135","Costa Rica","Female",NA,897,"ST77Q01","Math Interest"
"136","Costa Rica","Male","Every Lesson",799,"ST77Q01","Math Interest"
"137","Costa Rica","Male","Most Lessons",320,"ST77Q01","Math Interest"
"138","Costa Rica","Male","Never or Hardly Ever",31,"ST77Q01","Math Interest"
"139","Costa Rica","Male","Some Lessons",152,"ST77Q01","Math Interest"
"140","Costa Rica","Male",NA,840,"ST77Q01","Math Interest"
"141","Croatia","Female","Every Lesson",322,"ST77Q01","Math Interest"
"142","Croatia","Female","Most Lessons",498,"ST77Q01","Math Interest"
"143","Croatia","Female","Never or Hardly Ever",189,"ST77Q01","Math Interest"
"144","Croatia","Female","Some Lessons",651,"ST77Q01","Math Interest"
"145","Croatia","Female",NA,820,"ST77Q01","Math Interest"
"146","Croatia","Male","Every Lesson",408,"ST77Q01","Math Interest"
"147","Croatia","Male","Most Lessons",532,"ST77Q01","Math Interest"
"148","Croatia","Male","Never or Hardly Ever",167,"ST77Q01","Math Interest"
"149","Croatia","Male","Some Lessons",548,"ST77Q01","Math Interest"
"150","Croatia","Male",NA,873,"ST77Q01","Math Interest"
"151","Czech Republic","Female","Every Lesson",385,"ST77Q01","Math Interest"
"152","Czech Republic","Female","Most Lessons",615,"ST77Q01","Math Interest"
"153","Czech Republic","Female","Never or Hardly Ever",175,"ST77Q01","Math Interest"
"154","Czech Republic","Female","Some Lessons",559,"ST77Q01","Math Interest"
"155","Czech Republic","Female",NA,946,"ST77Q01","Math Interest"
"156","Czech Republic","Male","Every Lesson",473,"ST77Q01","Math Interest"
"157","Czech Republic","Male","Most Lessons",599,"ST77Q01","Math Interest"
"158","Czech Republic","Male","Never or Hardly Ever",169,"ST77Q01","Math Interest"
"159","Czech Republic","Male","Some Lessons",458,"ST77Q01","Math Interest"
"160","Czech Republic","Male",NA,948,"ST77Q01","Math Interest"
"161","Denmark","Female","Every Lesson",589,"ST77Q01","Math Interest"
"162","Denmark","Female","Most Lessons",905,"ST77Q01","Math Interest"
"163","Denmark","Female","Never or Hardly Ever",198,"ST77Q01","Math Interest"
"164","Denmark","Female","Some Lessons",753,"ST77Q01","Math Interest"
"165","Denmark","Female",NA,1332,"ST77Q01","Math Interest"
"166","Denmark","Male","Every Lesson",677,"ST77Q01","Math Interest"
"167","Denmark","Male","Most Lessons",910,"ST77Q01","Math Interest"
"168","Denmark","Male","Never or Hardly Ever",194,"ST77Q01","Math Interest"
"169","Denmark","Male","Some Lessons",606,"ST77Q01","Math Interest"
"170","Denmark","Male",NA,1317,"ST77Q01","Math Interest"
"171","Estonia","Female","Every Lesson",248,"ST77Q01","Math Interest"
"172","Estonia","Female","Most Lessons",552,"ST77Q01","Math Interest"
"173","Estonia","Female","Never or Hardly Ever",193,"ST77Q01","Math Interest"
"174","Estonia","Female","Some Lessons",625,"ST77Q01","Math Interest"
"175","Estonia","Female",NA,791,"ST77Q01","Math Interest"
"176","Estonia","Male","Every Lesson",290,"ST77Q01","Math Interest"
"177","Estonia","Male","Most Lessons",568,"ST77Q01","Math Interest"
"178","Estonia","Male","Never or Hardly Ever",160,"ST77Q01","Math Interest"
"179","Estonia","Male","Some Lessons",528,"ST77Q01","Math Interest"
"180","Estonia","Male",NA,824,"ST77Q01","Math Interest"
"181","Finland","Female","Every Lesson",735,"ST77Q01","Math Interest"
"182","Finland","Female","Most Lessons",1151,"ST77Q01","Math Interest"
"183","Finland","Female","Never or Hardly Ever",196,"ST77Q01","Math Interest"
"184","Finland","Female","Some Lessons",771,"ST77Q01","Math Interest"
"185","Finland","Female",NA,1517,"ST77Q01","Math Interest"
"186","Finland","Male","Every Lesson",783,"ST77Q01","Math Interest"
"187","Finland","Male","Most Lessons",1189,"ST77Q01","Math Interest"
"188","Finland","Male","Never or Hardly Ever",199,"ST77Q01","Math Interest"
"189","Finland","Male","Some Lessons",686,"ST77Q01","Math Interest"
"190","Finland","Male",NA,1602,"ST77Q01","Math Interest"
"191","Florida (USA)","Female","Every Lesson",206,"ST77Q01","Math Interest"
"192","Florida (USA)","Female","Most Lessons",209,"ST77Q01","Math Interest"
"193","Florida (USA)","Female","Never or Hardly Ever",48,"ST77Q01","Math Interest"
"194","Florida (USA)","Female","Some Lessons",171,"ST77Q01","Math Interest"
"195","Florida (USA)","Female",NA,318,"ST77Q01","Math Interest"
"196","Florida (USA)","Male","Every Lesson",210,"ST77Q01","Math Interest"
"197","Florida (USA)","Male","Most Lessons",211,"ST77Q01","Math Interest"
"198","Florida (USA)","Male","Never or Hardly Ever",31,"ST77Q01","Math Interest"
"199","Florida (USA)","Male","Some Lessons",165,"ST77Q01","Math Interest"
"200","Florida (USA)","Male",NA,327,"ST77Q01","Math Interest"
"201","France","Female","Every Lesson",245,"ST77Q01","Math Interest"
"202","France","Female","Most Lessons",496,"ST77Q01","Math Interest"
"203","France","Female","Never or Hardly Ever",278,"ST77Q01","Math Interest"
"204","France","Female","Some Lessons",561,"ST77Q01","Math Interest"
"205","France","Female",NA,795,"ST77Q01","Math Interest"
"206","France","Male","Every Lesson",320,"ST77Q01","Math Interest"
"207","France","Male","Most Lessons",438,"ST77Q01","Math Interest"
"208","France","Male","Never or Hardly Ever",245,"ST77Q01","Math Interest"
"209","France","Male","Some Lessons",435,"ST77Q01","Math Interest"
"210","France","Male",NA,800,"ST77Q01","Math Interest"
"211","Germany","Female","Every Lesson",169,"ST77Q01","Math Interest"
"212","Germany","Female","Most Lessons",443,"ST77Q01","Math Interest"
"213","Germany","Female","Never or Hardly Ever",261,"ST77Q01","Math Interest"
"214","Germany","Female","Some Lessons",527,"ST77Q01","Math Interest"
"215","Germany","Female",NA,1062,"ST77Q01","Math Interest"
"216","Germany","Male","Every Lesson",276,"ST77Q01","Math Interest"
"217","Germany","Male","Most Lessons",464,"ST77Q01","Math Interest"
"218","Germany","Male","Never or Hardly Ever",234,"ST77Q01","Math Interest"
"219","Germany","Male","Some Lessons",384,"ST77Q01","Math Interest"
"220","Germany","Male",NA,1181,"ST77Q01","Math Interest"
"221","Greece","Female","Every Lesson",303,"ST77Q01","Math Interest"
"222","Greece","Female","Most Lessons",445,"ST77Q01","Math Interest"
"223","Greece","Female","Never or Hardly Ever",292,"ST77Q01","Math Interest"
"224","Greece","Female","Some Lessons",673,"ST77Q01","Math Interest"
"225","Greece","Female",NA,863,"ST77Q01","Math Interest"
"226","Greece","Male","Every Lesson",355,"ST77Q01","Math Interest"
"227","Greece","Male","Most Lessons",501,"ST77Q01","Math Interest"
"228","Greece","Male","Never or Hardly Ever",257,"ST77Q01","Math Interest"
"229","Greece","Male","Some Lessons",560,"ST77Q01","Math Interest"
"230","Greece","Male",NA,876,"ST77Q01","Math Interest"
"231","Hong Kong-China","Female","Every Lesson",258,"ST77Q01","Math Interest"
"232","Hong Kong-China","Female","Most Lessons",633,"ST77Q01","Math Interest"
"233","Hong Kong-China","Female","Never or Hardly Ever",51,"ST77Q01","Math Interest"
"234","Hong Kong-China","Female","Some Lessons",456,"ST77Q01","Math Interest"
"235","Hong Kong-China","Female",NA,763,"ST77Q01","Math Interest"
"236","Hong Kong-China","Male","Every Lesson",377,"ST77Q01","Math Interest"
"237","Hong Kong-China","Male","Most Lessons",686,"ST77Q01","Math Interest"
"238","Hong Kong-China","Male","Never or Hardly Ever",78,"ST77Q01","Math Interest"
"239","Hong Kong-China","Male","Some Lessons",481,"ST77Q01","Math Interest"
"240","Hong Kong-China","Male",NA,887,"ST77Q01","Math Interest"
"241","Hungary","Female","Every Lesson",382,"ST77Q01","Math Interest"
"242","Hungary","Female","Most Lessons",599,"ST77Q01","Math Interest"
"243","Hungary","Female","Never or Hardly Ever",171,"ST77Q01","Math Interest"
"244","Hungary","Female","Some Lessons",499,"ST77Q01","Math Interest"
"245","Hungary","Female",NA,878,"ST77Q01","Math Interest"
"246","Hungary","Male","Every Lesson",379,"ST77Q01","Math Interest"
"247","Hungary","Male","Most Lessons",603,"ST77Q01","Math Interest"
"248","Hungary","Male","Never or Hardly Ever",135,"ST77Q01","Math Interest"
"249","Hungary","Male","Some Lessons",400,"ST77Q01","Math Interest"
"250","Hungary","Male",NA,764,"ST77Q01","Math Interest"
"251","Iceland","Female","Every Lesson",431,"ST77Q01","Math Interest"
"252","Iceland","Female","Most Lessons",482,"ST77Q01","Math Interest"
"253","Iceland","Female","Never or Hardly Ever",41,"ST77Q01","Math Interest"
"254","Iceland","Female","Some Lessons",180,"ST77Q01","Math Interest"
"255","Iceland","Female",NA,605,"ST77Q01","Math Interest"
"256","Iceland","Male","Every Lesson",488,"ST77Q01","Math Interest"
"257","Iceland","Male","Most Lessons",450,"ST77Q01","Math Interest"
"258","Iceland","Male","Never or Hardly Ever",50,"ST77Q01","Math Interest"
"259","Iceland","Male","Some Lessons",164,"ST77Q01","Math Interest"
"260","Iceland","Male",NA,617,"ST77Q01","Math Interest"
"261","Indonesia","Female","Every Lesson",672,"ST77Q01","Math Interest"
"262","Indonesia","Female","Most Lessons",441,"ST77Q01","Math Interest"
"263","Indonesia","Female","Never or Hardly Ever",70,"ST77Q01","Math Interest"
"264","Indonesia","Female","Some Lessons",668,"ST77Q01","Math Interest"
"265","Indonesia","Female",NA,1009,"ST77Q01","Math Interest"
"266","Indonesia","Male","Every Lesson",701,"ST77Q01","Math Interest"
"267","Indonesia","Male","Most Lessons",473,"ST77Q01","Math Interest"
"268","Indonesia","Male","Never or Hardly Ever",76,"ST77Q01","Math Interest"
"269","Indonesia","Male","Some Lessons",571,"ST77Q01","Math Interest"
"270","Indonesia","Male",NA,941,"ST77Q01","Math Interest"
"271","Ireland","Female","Every Lesson",573,"ST77Q01","Math Interest"
"272","Ireland","Female","Most Lessons",558,"ST77Q01","Math Interest"
"273","Ireland","Female","Never or Hardly Ever",140,"ST77Q01","Math Interest"
"274","Ireland","Female","Some Lessons",410,"ST77Q01","Math Interest"
"275","Ireland","Female",NA,864,"ST77Q01","Math Interest"
"276","Ireland","Male","Every Lesson",541,"ST77Q01","Math Interest"
"277","Ireland","Male","Most Lessons",542,"ST77Q01","Math Interest"
"278","Ireland","Male","Never or Hardly Ever",169,"ST77Q01","Math Interest"
"279","Ireland","Male","Some Lessons",387,"ST77Q01","Math Interest"
"280","Ireland","Male",NA,832,"ST77Q01","Math Interest"
"281","Israel","Female","Every Lesson",524,"ST77Q01","Math Interest"
"282","Israel","Female","Most Lessons",527,"ST77Q01","Math Interest"
"283","Israel","Female","Never or Hardly Ever",189,"ST77Q01","Math Interest"
"284","Israel","Female","Some Lessons",529,"ST77Q01","Math Interest"
"285","Israel","Female",NA,1056,"ST77Q01","Math Interest"
"286","Israel","Male","Every Lesson",435,"ST77Q01","Math Interest"
"287","Israel","Male","Most Lessons",391,"ST77Q01","Math Interest"
"288","Israel","Male","Never or Hardly Ever",161,"ST77Q01","Math Interest"
"289","Israel","Male","Some Lessons",445,"ST77Q01","Math Interest"
"290","Israel","Male",NA,798,"ST77Q01","Math Interest"
"291","Italy","Female","Every Lesson",2681,"ST77Q01","Math Interest"
"292","Italy","Female","Most Lessons",3543,"ST77Q01","Math Interest"
"293","Italy","Female","Never or Hardly Ever",1079,"ST77Q01","Math Interest"
"294","Italy","Female","Some Lessons",2738,"ST77Q01","Math Interest"
"295","Italy","Female",NA,5202,"ST77Q01","Math Interest"
"296","Italy","Male","Every Lesson",3051,"ST77Q01","Math Interest"
"297","Italy","Male","Most Lessons",3629,"ST77Q01","Math Interest"
"298","Italy","Male","Never or Hardly Ever",1074,"ST77Q01","Math Interest"
"299","Italy","Male","Some Lessons",2661,"ST77Q01","Math Interest"
"300","Italy","Male",NA,5415,"ST77Q01","Math Interest"
"301","Japan","Female","Every Lesson",291,"ST77Q01","Math Interest"
"302","Japan","Female","Most Lessons",950,"ST77Q01","Math Interest"
"303","Japan","Female","Never or Hardly Ever",150,"ST77Q01","Math Interest"
"304","Japan","Female","Some Lessons",573,"ST77Q01","Math Interest"
"305","Japan","Female",NA,1057,"ST77Q01","Math Interest"
"306","Japan","Male","Every Lesson",419,"ST77Q01","Math Interest"
"307","Japan","Male","Most Lessons",1074,"ST77Q01","Math Interest"
"308","Japan","Male","Never or Hardly Ever",206,"ST77Q01","Math Interest"
"309","Japan","Male","Some Lessons",506,"ST77Q01","Math Interest"
"310","Japan","Male",NA,1125,"ST77Q01","Math Interest"
"311","Jordan","Female","Every Lesson",1464,"ST77Q01","Math Interest"
"312","Jordan","Female","Most Lessons",566,"ST77Q01","Math Interest"
"313","Jordan","Female","Never or Hardly Ever",117,"ST77Q01","Math Interest"
"314","Jordan","Female","Some Lessons",250,"ST77Q01","Math Interest"
"315","Jordan","Female",NA,1218,"ST77Q01","Math Interest"
"316","Jordan","Male","Every Lesson",1315,"ST77Q01","Math Interest"
"317","Jordan","Male","Most Lessons",490,"ST77Q01","Math Interest"
"318","Jordan","Male","Never or Hardly Ever",137,"ST77Q01","Math Interest"
"319","Jordan","Male","Some Lessons",193,"ST77Q01","Math Interest"
"320","Jordan","Male",NA,1288,"ST77Q01","Math Interest"
"321","Kazakhstan","Female","Every Lesson",1019,"ST77Q01","Math Interest"
"322","Kazakhstan","Female","Most Lessons",565,"ST77Q01","Math Interest"
"323","Kazakhstan","Female","Never or Hardly Ever",50,"ST77Q01","Math Interest"
"324","Kazakhstan","Female","Some Lessons",304,"ST77Q01","Math Interest"
"325","Kazakhstan","Female",NA,993,"ST77Q01","Math Interest"
"326","Kazakhstan","Male","Every Lesson",958,"ST77Q01","Math Interest"
"327","Kazakhstan","Male","Most Lessons",601,"ST77Q01","Math Interest"
"328","Kazakhstan","Male","Never or Hardly Ever",39,"ST77Q01","Math Interest"
"329","Kazakhstan","Male","Some Lessons",305,"ST77Q01","Math Interest"
"330","Kazakhstan","Male",NA,974,"ST77Q01","Math Interest"
"331","Korea","Female","Every Lesson",205,"ST77Q01","Math Interest"
"332","Korea","Female","Most Lessons",774,"ST77Q01","Math Interest"
"333","Korea","Female","Never or Hardly Ever",72,"ST77Q01","Math Interest"
"334","Korea","Female","Some Lessons",512,"ST77Q01","Math Interest"
"335","Korea","Female",NA,779,"ST77Q01","Math Interest"
"336","Korea","Male","Every Lesson",274,"ST77Q01","Math Interest"
"337","Korea","Male","Most Lessons",864,"ST77Q01","Math Interest"
"338","Korea","Male","Never or Hardly Ever",108,"ST77Q01","Math Interest"
"339","Korea","Male","Some Lessons",547,"ST77Q01","Math Interest"
"340","Korea","Male",NA,898,"ST77Q01","Math Interest"
"341","Latvia","Female","Every Lesson",269,"ST77Q01","Math Interest"
"342","Latvia","Female","Most Lessons",491,"ST77Q01","Math Interest"
"343","Latvia","Female","Never or Hardly Ever",162,"ST77Q01","Math Interest"
"344","Latvia","Female","Some Lessons",538,"ST77Q01","Math Interest"
"345","Latvia","Female",NA,728,"ST77Q01","Math Interest"
"346","Latvia","Male","Every Lesson",290,"ST77Q01","Math Interest"
"347","Latvia","Male","Most Lessons",469,"ST77Q01","Math Interest"
"348","Latvia","Male","Never or Hardly Ever",147,"ST77Q01","Math Interest"
"349","Latvia","Male","Some Lessons",446,"ST77Q01","Math Interest"
"350","Latvia","Male",NA,766,"ST77Q01","Math Interest"
"351","Liechtenstein","Female","Every Lesson",20,"ST77Q01","Math Interest"
"352","Liechtenstein","Female","Most Lessons",27,"ST77Q01","Math Interest"
"353","Liechtenstein","Female","Never or Hardly Ever",7,"ST77Q01","Math Interest"
"354","Liechtenstein","Female","Some Lessons",32,"ST77Q01","Math Interest"
"355","Liechtenstein","Female",NA,52,"ST77Q01","Math Interest"
"356","Liechtenstein","Male","Every Lesson",30,"ST77Q01","Math Interest"
"357","Liechtenstein","Male","Most Lessons",31,"ST77Q01","Math Interest"
"358","Liechtenstein","Male","Never or Hardly Ever",20,"ST77Q01","Math Interest"
"359","Liechtenstein","Male","Some Lessons",22,"ST77Q01","Math Interest"
"360","Liechtenstein","Male",NA,52,"ST77Q01","Math Interest"
"361","Lithuania","Female","Every Lesson",306,"ST77Q01","Math Interest"
"362","Lithuania","Female","Most Lessons",512,"ST77Q01","Math Interest"
"363","Lithuania","Female","Never or Hardly Ever",155,"ST77Q01","Math Interest"
"364","Lithuania","Female","Some Lessons",550,"ST77Q01","Math Interest"
"365","Lithuania","Female",NA,760,"ST77Q01","Math Interest"
"366","Lithuania","Male","Every Lesson",385,"ST77Q01","Math Interest"
"367","Lithuania","Male","Most Lessons",487,"ST77Q01","Math Interest"
"368","Lithuania","Male","Never or Hardly Ever",133,"ST77Q01","Math Interest"
"369","Lithuania","Male","Some Lessons",552,"ST77Q01","Math Interest"
"370","Lithuania","Male",NA,778,"ST77Q01","Math Interest"
"371","Luxembourg","Female","Every Lesson",329,"ST77Q01","Math Interest"
"372","Luxembourg","Female","Most Lessons",468,"ST77Q01","Math Interest"
"373","Luxembourg","Female","Never or Hardly Ever",333,"ST77Q01","Math Interest"
"374","Luxembourg","Female","Some Lessons",549,"ST77Q01","Math Interest"
"375","Luxembourg","Female",NA,902,"ST77Q01","Math Interest"
"376","Luxembourg","Male","Every Lesson",431,"ST77Q01","Math Interest"
"377","Luxembourg","Male","Most Lessons",521,"ST77Q01","Math Interest"
"378","Luxembourg","Male","Never or Hardly Ever",342,"ST77Q01","Math Interest"
"379","Luxembourg","Male","Some Lessons",465,"ST77Q01","Math Interest"
"380","Luxembourg","Male",NA,918,"ST77Q01","Math Interest"
"381","Macao-China","Female","Every Lesson",365,"ST77Q01","Math Interest"
"382","Macao-China","Female","Most Lessons",707,"ST77Q01","Math Interest"
"383","Macao-China","Female","Never or Hardly Ever",63,"ST77Q01","Math Interest"
"384","Macao-China","Female","Some Lessons",599,"ST77Q01","Math Interest"
"385","Macao-China","Female",NA,870,"ST77Q01","Math Interest"
"386","Macao-China","Male","Every Lesson",475,"ST77Q01","Math Interest"
"387","Macao-China","Male","Most Lessons",721,"ST77Q01","Math Interest"
"388","Macao-China","Male","Never or Hardly Ever",113,"ST77Q01","Math Interest"
"389","Macao-China","Male","Some Lessons",497,"ST77Q01","Math Interest"
"390","Macao-China","Male",NA,925,"ST77Q01","Math Interest"
